customer_id,age,gender,country,device_type,session_duration,pages_visited,products_viewed,cart_additions,purchases,total_spent,last_purchase_days,membership_status,discount_used,churn
1,56,Male,Nigeria,Desktop,104,30,13,4,5,1455.74,34,Premium,No,0
2,46,Female,Kenya,Mobile,75,37,13,12,1,1201.37,242,Basic,No,1
3,32,Female,Nigeria,Tablet,48,25,17,10,3,1075.58,113,Premium,No,0
4,60,Female,Nigeria,Desktop,32,48,17,3,6,2061.61,318,Premium,Yes,0
5,25,Male,Nigeria,Desktop,57,27,5,6,7,3523.12,23,Basic,Yes,0
6,38,Male,Nigeria,Tablet,118,14,6,7,2,1095.09,46,Basic,No,0
7,56,Male,Ghana,Tablet,100,48,19,10,8,1839.73,312,Premium,No,0
8,36,Male,South Africa,Tablet,33,47,13,13,1,1960.68,135,Premium,Yes,0
9,40,Male,Ghana,Tablet,24,36,25,14,7,4882.52,118,Basic,Yes,0
10,28,Male,Kenya,Mobile,39,39,28,10,7,4773.79,189,Premium,Yes,0
11,28,Male,Ghana,Tablet,34,16,26,0,3,4002.69,131,Basic,No,0
12,41,Male,Ghana,Desktop,56,22,14,4,0,1215.88,212,Premium,Yes,1
13,53,Female,Kenya,Desktop,28,21,22,14,0,349.51,113,Premium,Yes,0
14,57,Female,Kenya,Mobile,37,21,4,2,1,1591.35,44,Premium,No,0
15,41,Male,Kenya,Desktop,7,8,28,0,8,1341.3,128,Premium,No,0
16,20,Male,Ghana,Desktop,68,49,7,11,1,2534.57,364,Premium,No,1
17,39,Female,Ghana,Tablet,37,16,8,2,1,3890.86,158,Basic,Yes,0
18,19,Male,Kenya,Desktop,56,31,25,13,5,4293.03,273,Basic,Yes,0
19,41,Male,South Africa,Mobile,65,42,13,5,6,4225.87,315,Premium,No,0
20,61,Male,South Africa,Tablet,65,10,27,13,6,1804.78,355,Premium,Yes,0
21,47,Female,Nigeria,Tablet,47,32,6,6,8,3439.3,340,Premium,Yes,0
22,55,Female,Kenya,Mobile,20,34,6,7,5,1571.04,45,Basic,Yes,0
23,19,Female,Nigeria,Tablet,19,9,24,12,7,313.92,108,Basic,No,0
24,38,Female,South Africa,Tablet,29,17,28,10,5,3510.81,219,Basic,No,0
25,50,Female,Nigeria,Mobile,74,11,21,3,1,59.04,318,Basic,Yes,1
26,29,Male,Kenya,Tablet,60,32,3,2,0,2051.82,315,Basic,Yes,1
